indicator,get,description
Gas/ parking/ toll Spending ,Gas/parking/tollSpending,Percentage of gas/parking/toll spending of area's residents
Taxi Spending ,TaxiSpending,Percentage of taxi spending of area's residents
Public transportation Spending ,PublictransportationSpending,Percentage of public transportation spending of area's residents
Cafes/ restaurants Spending ,Cafes/restaurantsSpending,Percentage of cafes/restaurants spending of area's residents
Fastfood Spending ,FastfoodSpending,Percentage of fastfood spending of area's residents
Food Spending ,FoodSpending,Percentage of food spending of area's residents
Recreation Spending ,RecreationSpending,Percentage of recreation spending of area's residents
Fashion/ beauty/ jewelry Spending ,Fashion/beauty/jewelrySpending,Percentage of fashion/beauty/jewelry spending of area's residents
Medical Spending ,MedicalSpending,Percentage of medical spending of area's residents
Cultural Spending ,CulturalSpending,Percentage of cultural spending of area's residents
Travel Spending ,TravelSpending,Percentage of travel spending of area's residents
