indicator,get,description
Nighttime Spending,NighttimeSpending,Density of number of transactions made by people inside their province between 10:00pm and 6:00am
Weekend Spending,WeekendSpending,Density of number of transactions made by people inside their province Suturday and Sunday
Nighttime Money Spending,NighttimeMoneySpending,Money spent by people inside their province between 10:00pm and 6:00am
Weekend Money Spending,WeekendMoneySpending,Money spent by people inside their province Suturday and Sunday
Nighttime Earning,NighttimeEarning,Average activity (money) of the area residents between 10:00pm and 6:00am
Weekend Earning,WeekendEarning,Average activity (money) of the area residents Suturday and Sunday
Nighttime Transactions,NighttimeTransactions,Average activity (number of transactions) of the area residents between 10:00pm and 6:00am
Weekend Transactions,WeekendTransactions,Average activity (number of transactions) of the area residents Suturday and Sunday
Activity Outside Province,ActivityOutsideProvince,Density of number of transactions made by people outside their residence province of residence
Activity Inside Province,ActivityInsideProvince,Density of number of transactions recived in business of one province from customerse that live outside that province
Money spent Outside Province,MoneyspentOutsideProvince,Money spent made by people outside their residence province of residence
Money spent Inside Province,MoneyspentInsideProvince,Money gained by business of one province from customerse that live outside that province
Spending in Expensive locations,SpendinginExpensivelocations,Transctions in businesse where theaverage transaction amount is above average for the corresponding business category
